A3413,A3407,A3400,M0562,D5915,M0082,D5927,A1235,D5795,M2901,M3342,A1405,D1531,E0652,H1770,M0085,A0141,M0081,A0142,M0280,A1389,M0326,M0591,A0144,D4129,M0083,GluMA,GalAM,DP,total_rot_bonds,total_chi0v,total_num_rings,total_mw,total_kappa3,total_kappa1,total_n_carbon,total_arom_rings,total_num_valence_electrons,total_hbd,total_chi1v,total_tpsa,total_molar_ref,charge,total_heavy_atom_count,total_kappa2,total_n_oxygen,total_num_aromatic_heterocycles,total_num_sat_rings,total_num_aliphatic_rings,total_logp,total_balabanj,total_num_heteroatoms,total_hba,total_n_nitrogen,total_bertzct,total_hallkieralpha,predicted_docking_score,Consensus_Class,score,fluorescence
3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,103.0,143.975724,2.0,3379.3679999999995,114.423907,216.800859,159.0,0.0,1338.0,6.0,72.099446,840.98,877.0914,6.0,230.0,138.817946,62.0,0.0,2.0,2.0,9.0237,56.10047,71.0,62.0,6.0,2685.739486,-17.47,-8.611371,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,22.0,138.0,186.368492,2.0,4026.732,130.834236,264.44468,226.0,0.0,1636.0,6.0,104.74025,670.1,1153.391,6.0,280.0,163.82942400000002,46.0,0.0,2.0,2.0,43.773,68.224032,54.0,46.0,6.0,3386.293976,-17.12,-8.487712,1,3.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,21.0,116.0,214.002474,17.0,5462.528,92.302238,324.425405,230.0,0.0,2160.0,66.0,116.145345,2134.5,1264.382,6.0,372.0,153.511209,134.0,0.0,17.0,17.0,-34.306,46.76847600000001,142.0,134.0,6.0,6086.821032,-19.93,-8.758055,0,5.0,Low
2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,108.0,144.290325,1.0,3356.978,114.74916,215.768519,161.0,0.0,1338.0,6.0,73.097924,808.55,880.2950000000001,6.0,230.0,140.172629,61.0,0.0,1.0,1.0,9.5141,60.827804,69.0,61.0,6.0,2634.338536,-17.72,-8.595228,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,154.0,174.194828,2.0,4089.836,173.44055600000002,263.16468000000003,194.0,0.0,1636.0,6.0,92.305834,965.46,1057.487,6.0,280.0,185.933056,78.0,0.0,2.0,2.0,9.1602,58.815328,86.0,78.0,6.0,3264.38772,-18.4,-8.568266,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,107.0,146.834295,2.0,3413.066,113.331927,217.80468,164.0,0.0,1360.0,7.0,74.945641,812.99,894.8017,7.0,234.0,139.655634,61.0,0.0,2.0,2.0,7.7828,59.871865,70.0,61.0,7.0,2734.332339,-17.759999999999998,-8.64026,1,1.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,110.0,143.72871600000002,0.0,3327.0,115.762692,215.732358,160.0,0.0,1328.0,8.0,72.74966599999999,804.9200000000001,880.3084,6.0,228.0,141.25137,58.0,0.0,0.0,0.0,9.2796,62.15250399999999,68.0,58.0,8.0,2566.389848,-17.68,-8.597623,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,126.0,159.84925399999997,0.0,3681.392,133.202044,239.41235800000004,176.0,0.0,1472.0,6.0,80.40000599999999,873.1599999999999,962.759,6.0,252.0,153.010866,68.0,0.0,0.0,0.0,10.2664,63.18372,76.0,68.0,6.0,3011.020168,-18.0,-8.588735,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,138.0,177.64351599999998,2.0,4089.836,148.614332,263.16468000000003,194.0,0.0,1636.0,6.0,89.411386,965.46,1057.487,6.0,280.0,162.61288000000002,78.0,0.0,2.0,2.0,9.1602,61.565536,86.0,78.0,6.0,3591.547864,-18.4,-8.580252,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,74.0,148.4995,2.0,3369.244,94.212364,215.80468,162.0,0.0,1348.0,38.0,74.695818,1038.58,914.071,6.0,232.0,103.389328,46.0,0.0,2.0,2.0,-2.1870000000000003,67.008928,70.0,46.0,22.0,3200.2501999999995,-17.759999999999998,-8.819893,1,4.0,Medium
2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,104.0,141.609292,0.0,3315.76,117.13925,217.724716,154.0,0.0,1308.0,8.0,69.613178,851.32,865.7252000000001,6.0,224.0,140.69948599999998,58.0,0.0,0.0,0.0,9.5378,55.347236,70.0,58.0,8.0,2533.2943720000003,-17.1,-8.606428,2,0.0,High
2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,22.0,138.0,199.118962,0.0,4209.99,128.306468,284.19028000000003,236.0,0.0,1704.0,8.0,108.19181799999998,703.6400000000001,1217.8392,6.0,290.0,163.575152,42.0,0.0,0.0,0.0,51.438,66.239812,54.0,42.0,8.0,3761.736914,-16.46,-8.474863,1,2.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,102.0,159.61271,0.0,3553.4,120.844564,231.73235800000003,176.0,0.0,1424.0,6.0,78.89147799999999,799.3199999999999,949.903,6.0,244.0,128.895082,60.0,0.0,0.0,0.0,16.3624,68.092136,68.0,60.0,6.0,3134.69212,-17.68,-8.576852,1,2.0,Medium
2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,72.0,129.681436,0.0,3091.328,91.83381,201.724716,138.0,0.0,1212.0,24.0,62.028138,1027.3200000000002,789.0820000000001,6.0,208.0,105.449358,58.0,0.0,0.0,0.0,-0.9278,61.110052,70.0,58.0,8.0,2662.1349,-17.1,-8.742419,1,4.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,58.0,144.562348,2.0,3129.004,89.020668,200.44468,162.0,0.0,1252.0,6.0,70.650634,670.1,858.671,6.0,216.0,90.86232,46.0,0.0,2.0,2.0,21.0866,69.319936,54.0,46.0,6.0,2949.631128,-17.12,-8.450941,1,4.0,Medium
4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,70.0,131.305673,5.0,3097.482,92.046222,194.225521,143.0,0.0,1214.0,14.0,66.579324,890.3499999999999,785.8534,6.0,210.0,101.632765,49.0,0.0,5.0,5.0,-16.238500000000002,53.04128,67.0,49.0,14.0,2701.3551800000005,-16.98,-8.733773,0,5.0,Low
