A,B,C,D,E,H,I,P,N,DP,total_hba,total_num_aromatic_heterocycles,total_rot_bonds,total_n_nitrogen,total_num_rings,total_logp,total_tpsa,total_heavy_atom_count,total_hallkieralpha,total_kappa3,total_kappa2,total_balabanj,total_chi1v,total_n_carbon,total_n_oxygen,total_chi0v,total_num_aliphatic_rings,total_arom_rings,total_mw,total_bertzct,total_hbd,charge,total_num_valence_electrons,total_molar_ref,total_num_heteroatoms,total_num_sat_rings,total_kappa1,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,0.0,2.0,8.0,0.0,4.0,0.0,8.0,0.0,22.0,68.0,0.0,92.0,8.0,8.0,11.822,860.82,244.0,-26.76,95.64749,112.8155,61.861074,73.366254,176.0,60.0,142.693236,0.0,8.0,3433.9,3957.83418,4.0,6.0,1344.0,919.3112,68.0,0.0,201.894128,-8.81769,2,0,High
0.0,5.0,3.0,9.0,0.0,0.0,0.0,4.0,0.0,21.0,61.0,0.0,83.0,9.0,9.0,14.3619,762.71,236.0,-26.36,90.204644,103.501696,59.409702,71.387205,175.0,52.0,138.871149,0.0,9.0,3297.824,4029.228553000001,0.0,6.0,1287.0,896.932,61.0,0.0,192.446449,-8.903572,2,0,High
0.0,0.0,2.0,8.0,0.0,0.0,0.0,7.0,4.0,21.0,61.0,0.0,87.0,16.0,7.0,6.2914,927.93,234.0,-26.950000000000003,96.576221,104.298683,60.798647,69.63244,165.0,53.0,136.575189,0.0,7.0,3289.746,3882.048805,8.0,6.0,1286.0,882.8553999999999,69.0,0.0,193.622362,-8.817325,2,0,High
0.0,6.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,21.0,60.0,0.0,81.0,9.0,9.0,14.4831,753.4800000000001,234.0,-26.16,89.027514,102.03513,59.681241,70.74795900000001,174.0,51.0,137.755794,0.0,9.0,3267.798,4000.994667,0.0,6.0,1275.0,890.2740000000001,60.0,0.0,190.66056,-8.906035,2,0,High
0.0,5.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,22.0,59.0,0.0,73.0,9.0,5.0,10.861,752.09,215.0,-23.23,90.319783,97.295723,66.62563,64.702655,156.0,50.0,129.170781,0.0,5.0,3029.553,3239.3321690000007,0.0,6.0,1191.0,818.7099999999999,59.0,0.0,182.249385,-8.68534,2,0,High
0.0,0.0,2.0,8.0,4.0,0.0,0.0,7.0,0.0,21.0,61.0,0.0,83.0,8.0,7.0,14.1378,744.37,226.0,-24.83,90.552029,103.291039,59.944811,68.63244,165.0,53.0,134.265785,0.0,7.0,3177.6900000000005,3619.072481,0.0,6.0,1246.0,860.571,61.0,0.0,187.742362,-8.772641,2,0,High
0.0,0.0,3.0,9.0,4.0,0.0,0.0,6.0,0.0,22.0,65.0,0.0,86.0,9.0,6.0,11.3141,807.47,232.0,-25.21,96.93387099999998,107.030531,64.257178,70.095261,167.0,56.0,138.249663,0.0,6.0,3271.78,3597.01303,0.0,6.0,1285.0,878.2629999999999,65.0,0.0,195.280596,-8.721075,2,0,High
0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,22.0,56.0,0.0,76.0,16.0,8.0,9.055599999999998,889.62,232.0,-27.12,90.91651,98.370072,65.133102,68.815802,168.0,48.0,135.462516,0.0,8.0,3241.752,3948.838488,8.0,6.0,1264.0,882.6844000000001,64.0,0.0,189.647016,-8.894114,2,0,High
0.0,4.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,21.0,57.0,0.0,70.0,9.0,4.0,8.9452,725.79,203.0,-21.66,87.739584,92.958372,64.191948,61.044571,146.0,48.0,122.475969,0.0,4.0,2867.365,2974.905284,0.0,6.0,1129.0,772.275,57.0,0.0,173.723508,-8.622807,2,0,High
0.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,4.0,22.0,59.0,0.0,78.0,17.0,6.0,4.1949,935.65,228.0,-26.13,95.895283,99.238779,66.740248,67.25978500000001,161.0,50.0,133.866937,0.0,6.0,3203.68,3690.586038,8.0,6.0,1253.0,860.5994000000001,67.0,0.0,190.445262,-8.775534,2,0,High
