A3413,A3407,A3400,M0562,D5915,M0082,D5927,A1235,D5795,M2901,M3342,A1405,D1531,E0652,H1770,M0085,A0141,M0081,A0142,M0280,A1389,M0326,M0591,A0144,D4129,M0083,GluMA,GalAM,DP,total_hbd,total_balabanj,total_n_oxygen,total_n_nitrogen,total_logp,total_num_sat_rings,total_n_carbon,total_chi1v,total_tpsa,total_num_valence_electrons,total_bertzct,total_num_aromatic_heterocycles,total_molar_ref,total_num_aliphatic_rings,total_num_rings,total_kappa3,total_mw,total_arom_rings,total_kappa1,charge,total_heavy_atom_count,total_chi0v,total_hallkieralpha,total_hba,total_num_heteroatoms,total_rot_bonds,total_kappa2,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,57.257838,44.0,12.0,13.563399999999998,4.0,178.0,81.545384,838.0200000000001,1384.0,3150.8819220000005,0.0,943.786,4.0,4.0,103.502788,3476.3860000000004,0.0,224.42936,2.0,238.0,155.241276,-16.700000000000003,44.0,60.0,90.0,119.333104,-8.768993,0,5.0,High
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,55.062853,51.0,7.0,-15.3227,3.0,111.0,48.641081,963.22,996.0,2212.835799,0.0,618.2507,3.0,3.0,84.274423,2569.463,0.0,161.273199,-4.0,173.0,103.65277,-16.78,51.0,62.0,47.0,76.732874,-8.627063,2,0.0,Low
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,57.580289,58.0,11.0,-2.544,3.0,148.0,67.421236,1044.8200000000002,1284.0,2982.254158,0.0,839.0363000000001,3.0,3.0,91.416647,3271.603,0.0,208.833199,7.0,221.0,138.125597,-17.22,58.0,73.0,69.0,104.864406,-8.788269,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,51.858048,51.0,8.0,-14.475600000000002,3.0,114.0,50.336386000000005,977.03,1028.0,2281.83862,0.0,643.8228,3.0,3.0,86.65847099999999,2665.036,0.0,169.229378,-2.0,178.0,107.921485,-16.53,51.0,64.0,49.0,81.789551,-8.619471,1,3.0,Medium
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,45.06994999999999,42.0,17.0,-18.1218,3.0,114.0,51.479208,1011.45,1044.0,2296.728308,0.0,674.0123000000001,3.0,3.0,90.390807,2731.1180000000004,0.0,177.221736,0.0,180.0,111.533018,-15.95,42.0,66.0,49.0,86.767425,-8.653418,0,5.0,High
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,56.263133,50.0,5.0,5.481299999999999,0.0,129.0,56.273979,907.33,1100.0,2372.292101,0.0,721.1393,0.0,0.0,91.137988,2822.461,0.0,186.160895,0.0,189.0,119.532845,-16.369999999999997,50.0,60.0,62.0,95.223031,-8.572593,1,4.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,50.016025,46.0,12.0,-8.5383,0.0,129.0,59.007868,894.85,1128.0,2347.733651,0.0,740.518,0.0,0.0,93.960422,2909.103,0.0,193.747074,7.0,193.0,123.339194,-15.489999999999998,46.0,64.0,71.0,104.558782,-8.722237,1,3.0,Medium
0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,65.842221,47.0,11.0,-15.234000000000002,0.0,120.0,53.20101,951.47,1046.0,2167.001435,0.0,667.4981,0.0,0.0,91.532509,2660.349,0.0,171.338537,-3.0,181.0,110.681783,-17.78,47.0,61.0,62.0,87.099184,-8.619452,1,3.0,Medium
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,51.858048,46.0,13.0,-16.6106,3.0,114.0,50.890156000000005,991.03,1028.0,2281.83862,0.0,654.0763,3.0,3.0,86.65847099999999,2660.1160000000004,0.0,169.229378,-2.0,178.0,108.38024,-16.53,46.0,64.0,49.0,81.789551,-8.655348,1,3.0,Medium
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,55.062853,47.0,11.0,-17.0307,3.0,111.0,49.084097,974.42,996.0,2212.835799,0.0,626.4535000000001,3.0,3.0,84.274423,2565.527,0.0,161.273199,-4.0,173.0,104.019774,-16.78,47.0,62.0,47.0,76.732874,-8.663595,2,0.0,Low
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,71.833509,46.0,5.0,-2.536400000000001,0.0,130.0,56.237618,793.72,1044.0,2351.768157,0.0,674.2107,0.0,0.0,83.130686,2587.1630000000005,0.0,164.05,-5.0,181.0,113.802097,-16.95,46.0,51.0,60.0,74.717604,-8.628021,2,0.0,Low
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,55.561653,43.0,10.0,-6.005100000000002,0.0,113.0,49.097447,950.02,992.0,2092.688708,0.0,642.7372000000001,0.0,0.0,96.165599,2556.0710000000004,0.0,167.804805,-5.0,171.0,105.827071,-16.29,43.0,58.0,54.0,84.495259,-8.626425,1,1.0,Medium
0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,62.241758,45.0,9.0,-15.592300000000002,0.0,105.0,45.56874,930.12,934.0,1939.986914,0.0,586.5667,0.0,0.0,84.930971,2386.9080000000004,0.0,153.20853699999998,-6.0,162.0,97.423975,-16.91,45.0,57.0,51.0,74.91242,-8.5849905,2,0.0,Low
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,64.759287,51.0,7.0,-13.0349,4.0,127.0,57.110074,845.9200000000001,1060.0,2449.518804,0.0,667.8069,4.0,4.0,79.34416399999999,2650.067,0.0,160.07464399999998,-2.0,185.0,111.587799,-17.23,51.0,58.0,58.0,77.22394800000001,-8.719118,1,3.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,54.77237,49.0,6.0,9.250699999999998,0.0,144.0,63.71459399999999,928.57,1198.0,2596.138417,0.0,795.5696,0.0,0.0,100.399718,3068.3430000000003,0.0,205.157074,0.0,205.0,131.931333,-16.08,49.0,61.0,74.0,107.038154,-8.643734,1,4.0,Medium
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,71.910034,48.0,12.0,-2.2676000000000003,4.0,176.0,79.93674800000001,779.4399999999999,1364.0,3248.692458,0.0,906.6144,4.0,4.0,94.08952,3368.5000000000005,0.0,210.284644,4.0,236.0,153.53558400000003,-18.02,48.0,60.0,80.0,98.268514,-8.833715,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,53.17416299999999,51.0,7.0,-13.3984,2.0,110.0,48.014604000000006,983.59,1000.0,2189.89735,0.0,624.5259000000001,2.0,2.0,86.494114,2594.9210000000003,0.0,166.193217,-3.0,173.0,104.632024,-16.490000000000002,51.0,63.0,48.0,80.103413,-8.58106,1,1.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,66.031465,49.0,7.0,-12.5467,0.0,117.0,51.579804,895.53,1010.0,2103.643188,0.0,638.2247,0.0,0.0,86.45634100000001,2555.7610000000004,0.0,163.13235799999998,-3.0,175.0,106.320938,-17.28,49.0,58.0,61.0,83.088721,-8.5818405,1,3.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,50.920421,53.0,9.0,-13.2014,4.0,124.0,55.681234,983.27,1104.0,2496.8958440000006,0.0,698.4293,4.0,4.0,87.858588,2853.327,0.0,180.185539,1.0,191.0,116.7791,-16.65,53.0,67.0,54.0,88.611169,-8.661193,1,3.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,58.333771,50.0,11.0,-13.532600000000002,0.0,128.0,56.984899,989.83,1134.0,2290.7022810000003,0.0,727.5371,0.0,0.0,104.022073,2930.953,0.0,193.497074,0.0,195.0,121.736457,-17.740000000000002,50.0,67.0,69.0,103.06152699999998,-8.578237,1,4.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,56.112688,48.0,6.0,21.2744,0.0,168.0,75.20585,880.68,1336.0,2921.122484,0.0,909.5398,0.0,0.0,107.613456,3391.008,0.0,228.197074,2.0,228.0,150.25385799999998,-16.04,48.0,60.0,90.0,122.701906,-8.58887,0,5.0,High
