D,H,A,E,C,I,P,B,N,DP,Fluorescence,total_num_valence_electrons,total_hallkieralpha,total_num_sat_rings,total_kappa2,total_kappa3,total_bertzct,total_balabanj,total_rot_bonds,total_hbd,total_hba,total_num_heteroatoms,total_num_aromatic_heterocycles,total_num_aliphatic_rings,total_logp,total_chi0v,total_arom_rings,total_num_rings,total_kappa1,total_n_carbon,total_mw,total_n_oxygen,total_chi1v,charge,total_heavy_atom_count,total_molar_ref,total_tpsa,total_n_nitrogen,predicted_docking_score,Consensus_Class,score,fluorescence
2.5,2.5,10,15.5,0,0,0,0,0,30.5,3.505757588,1157.5,-24.295,0,91.2626045,100.7300455,2280.571515,96.9937375,58.5,12.5,56,66,0,0,7.53525,121.787395,0,0,179.205,137.5,2910.8585,53.5,57.7484595,2.5,203.5,780.396,1035.375,12.5,-8.077421,2,0,High
17.5,0,2.5,0,0,2.5,10,0,0,32.5,3.471009912,1937.5,-36.175,0,159.5653975,151.201265,5448.6546575,93.7248325,130,2.5,90,92.5,0,0,22.537,212.832005,10,10,294.64266,257.5,4926.02,72.5,107.6683825,17.5,350,1369.481,1092.275,20,-8.124784,2,0,High
10,10,10,2.5,0,0,0,0,0,32.5,3.445228068,1410,-26.475,0,116.9892675,126.4011675,2853.99824,103.04325,85,20,75,85,0,0,-3.35225,147.71833,0,0,221.025,162.5,3554.1025,65,70.295385,10,247.5,943.457,1283.95,20,-8.005674,2,0,High
2.5,10,17.5,2.5,0,0,0,0,0,32.5,3.441129237,1192.5,-26.175,0,90.939405,110.6551425,2382.5399075,103.1178,62.5,27.5,60,77.5,0,0,-6.78425,120.0258925,0,0,183.825,132.5,3013.3,57.5,55.9345425,2.5,210,788.855,1365.625,20,-7.9195013,2,0,High
0,0,13,11,0,0,0,0,0,24,3.389243117,804,-18.96,0,57.201167,75.047801,1590.516979,76.564365,35,13,35,48,0,0,3.6406,83.399388,0,0,123.04,94,2025.314,35,38.576893,0,142,547.2182,849.47,13,-8.0769825,2,0,High
7.5,0,7.5,0,0,7.5,7.5,0,0,30,3.309978321,1582.5,-31.35,0,123.340215,130.1377425,4326.243495,88.757355,97.5,7.5,67.5,75,0,0,22.044,171.9601125,7.5,7.5,239.263245,210,4009.875,60,86.6126325,7.5,285,1113.6255,1028.4,15,-8.697024,2,0,High
0,0,24,0,0,0,0,0,0,24,3.309948441,672,-18.96,0,36.516624,77.04,1389.921672,76.91532,24,24,24,48,0,0,-8.2152,66.481344,0,0,101.04,72,1705.896,24,28.553352,0,120,465.3936,1034.16,24,-7.2060823,2,0,High
14.5,0,10,0,0,2.5,10,0,0,37,3.269261564,1976.5,-39.61,0,155.9923195,159.347855,5520.681638,108.176275,125.5,10,88.5,98.5,0,0,19.62385,214.220282,10,10,298.70766,259,5029.5545,74,107.277799,14.5,357.5,1394.9015,1318.85,24.5,-7.694779,2,0,High
15.5,0,10,0,0,2.5,2.5,0,0,30.5,3.235688513,1478.5,-27.165,0,117.457783,136.4773575,3446.5003695,95.1550675,92,10,69,79,0,0,6.27965,162.1064105,2.5,2.5,230.539415,183.5,3731.1355,53.5,78.152326,15.5,262.5,1036.709,1084.575,25.5,-8.188737,2,0,High
7.5,0,7.5,0,0,7.5,7.5,0,0,30,3.161969946,1582.5,-31.35,0,123.340215,130.1377425,4326.243495,88.757355,97.5,7.5,67.5,75,0,0,22.044,171.9601125,7.5,7.5,239.263245,210,4009.875,60,86.6126325,7.5,285,1113.6255,1028.4,15,-8.697024,2,0,High
7.5,7.5,7.5,7.5,0,0,0,0,0,30,3.096652711,1282.5,-24.3,0,106.8778575,111.8383875,2568.8387175,95.13,75,15,67.5,75,0,0,1.623,135.021585,0,0,200.7,150,3228.735,60,64.539405,7.5,225,858.5115,1110.9,15,-8.261714,2,0,High
0,0,11,13,0,0,0,0,0,24,3.079866351,828,-18.96,0,60.961993,74.685583,1626.988853,76.500555,37,11,37,48,0,0,5.7962,86.475396,0,0,127.04,98,2083.39,37,40.399355,0,146,562.0954,815.89,11,-8.107211,2,0,High
2.5,2.5,10,13.5,0,0,0,0,0,28.5,3.066681543,1077.5,-22.715,0,84.4587265,94.6722635,2128.272835,90.6479375,54.5,12.5,52,62,0,0,6.06425,113.171275,0,0,166.785,127.5,2710.6245,49.5,53.5465515,2.5,189.5,726.736,982.775,12.5,-8.161519,2,0,High
2.5,2.5,17.5,10,0,0,0,0,0,32.5,2.947106323,1147.5,-25.875,0,83.963385,108.146145,2296.1006675,103.578825,55,20,52.5,70,0,0,0.92275,118.868485,0,0,176.625,132.5,2893.3075,50,55.116135,2.5,202.5,778.2665,1213.9,20,-7.6694746,2,0,High
14.5,10,2.5,10,0,0,0,0,0,37,2.940220125,1756.5,-30.21,0,153.5691495,148.935465,3534.2530805,117.180855,110.5,12.5,96,98.5,0,0,5.2501,188.3340745,0,0,277.29,209,4416.2245,81.5,91.0998765,14.5,307.5,1179.269,1302.925,17,-7.4731336,2,0,High
2.5,16.5,10,2.5,0,0,0,0,0,31.5,2.939216183,1281.5,-25.645,0,107.6864475,108.4423985,2518.074103,99.3060575,74.5,26.5,72,82,0,0,-6.11565,128.255949,0,0,198.855,142.5,3234.9615,69.5,61.3771075,2.5,224.5,826.9912,1344.895,12.5,-8.3213005,2,0,High
10,2.5,10,12.5,0,0,0,0,0,35,2.891708799,1465,-28.15,0,118.518095,131.4643975,2957.93235,111.436525,82.5,12.5,72.5,82.5,0,0,6.1935,157.3310725,0,0,229.35,175,3684.4025,62.5,74.7293625,10,257.5,999.9435,1197.975,20,-7.432079,2,0,High
2.5,10,14.5,10,0,0,0,0,0,37,2.873201376,1408.5,-29.73,0,111.8893695,123.741825,2779.9197485,117.300135,74.5,24.5,72,86.5,0,0,-0.2411,144.0261745,0,0,217.77,161,3550.9405,69.5,68.1225285,2.5,247.5,931.9058,1433.605,17,-7.2224784,2,0,High
0,0,17,7.5,0,0,0,0,0,24.5,2.84656192,776,-19.355,0,51.3804845,77.2866825,1555.647901,78.278435,32,17,32,49,0,0,-0.302849999999999,79.401402,0,0,118.145,88.5,1959.2205,32,35.982446,0,137.5,530.8788,929.78,17,-7.813462,2,0,High
